tank,horizon,horizon_label,chronos2_mae,npts_mae,improvement_pct,winner
G_BLOCK,48,48h,0.3498654783243041,0.34500438981562775,-1.4089932337597586,NPTS
I&H_BLOCK,48,48h,0.3146550552629399,0.3122124670763828,-0.7823480623403636,NPTS
INFORMATION_CENTRE,48,48h,0.017701518823841585,0.017383669885864792,-1.8284340421998317,NPTS
IT_BLOCK,48,48h,0.06302726708293693,0.06832309043020192,7.751147253321536,Chronos2-ZS
ME_WORKSHOP_BLOCK,48,48h,0.02589991133918461,0.02678665496049166,3.3103932634176654,Chronos2-ZS
MM_BLOCK,48,48h,0.24099135794275367,0.24039508340649693,-0.24803940571798994,NPTS
MRD_BLOCK,48,48h,0.7965950662740183,0.8652502194907814,7.934716648459,Chronos2-ZS
NBX,48,48h,0.3439589065718419,0.33402471315092674,-2.9740893502171724,NPTS
NEW_BLOCK,48,48h,0.03618422691344796,0.03808604038630377,4.993465987973173,Chronos2-ZS
NEW_BLOCK_RO,48,48h,0.0004566878083822684,0.00038630377524143984,-18.219866760773577,NPTS
TECH_PARK,48,48h,0.1816993362779048,0.22607550482879718,19.628914943482105,Chronos2-ZS
BE_BLOCK_OHT,72,72h,0.7268649744695547,0.7293994169096211,0.3474697650300476,Chronos2-ZS
BE_BLOCK_RO,72,72h,0.0074579570524546555,0.0101399416909621,26.449704744337357,Chronos2-ZS
CRICKET_GROUND_OHT,72,72h,0.009511775091442527,0.009306122448979593,-2.2098639212025817,NPTS
F_BLOCK,72,72h,0.3804096107329989,0.4367405247813411,12.898027742340814,Chronos2-ZS
GJBC_BLOCK_1_A1_BOYS,72,72h,0.08077070297200895,0.0811195335276968,0.4300204161908172,Chronos2-ZS
GJBC_BLOCK_1_A2_GIRLS,72,72h,0.0760818589639038,0.07761516034985423,1.9755179001615049,Chronos2-ZS
GJBC_BLOCK_1_A3,72,72h,0.10284000191778901,0.10560932944606415,2.622237583365644,Chronos2-ZS
GJBC_BLOCK_1_A4_RO,72,72h,0.004280483881064553,0.0042507288629737615,-0.6999980250439916,NPTS
GJBC_BLOCK_2_A1,72,72h,0.11979750471336413,0.15708114419147692,23.735273682922262,Chronos2-ZS
GJBC_LAW_BLOCK_3_A4_BOYS,72,72h,0.6009913726728789,0.6380816326530612,5.812776623261464,Chronos2-ZS
GJBC_LAW_BLOCK_3__A1,72,72h,0.38581803207240944,0.40422626025791325,4.553941689428734,Chronos2-ZS
GJBC_LAW_BLOCK_3__A2,72,72h,0.1803576481954002,0.24037900874635568,24.969468367468437,Chronos2-ZS
GJBC_LAW_BLOCK_3__A3_GIRLS,72,72h,0.15653639306271389,0.1794927113702624,12.789554590990386,Chronos2-ZS
G_BLOCK,72,72h,0.3579436452625097,0.3520932944606414,-1.6615910879047646,NPTS
I&H_BLOCK,72,72h,0.3018245270540693,0.2988279883381924,-1.0027637412883947,NPTS
INFORMATION_CENTRE,72,72h,0.017591171005420365,0.017247813411078717,-1.9907311504257132,NPTS
IT_BLOCK,72,72h,0.06308191104155067,0.06766763848396502,6.776839779181917,Chronos2-ZS
ME_WORKSHOP_BLOCK,72,72h,0.025663577085333733,0.02632069970845481,2.4966001299349796,Chronos2-ZS
MM_BLOCK,72,72h,0.2405176175843175,0.2404548104956268,-0.026120121515237484,NPTS
MRD_BLOCK,72,72h,0.8244825755903394,0.8698483965014577,5.215370988045762,Chronos2-ZS
NBX,72,72h,0.3363375878711378,0.32512309495896835,-3.4493067659757544,NPTS
NEW_BLOCK,72,72h,0.03606743735248772,0.038075801749271145,5.274647688336251,Chronos2-ZS
NEW_BLOCK_RO,72,72h,0.00044264199201332583,0.00037900874635568517,-16.789387123515958,NPTS
TECH_PARK,72,72h,0.18276204766476464,0.2277667638483965,19.75912351004266,Chronos2-ZS
BE_BLOCK_OHT,168,168h,0.7210642366867274,0.7310251306295099,1.3625925464703095,Chronos2-ZS
BE_BLOCK_RO,168,168h,0.007562393314736004,0.010079621796466784,24.973441787400645,Chronos2-ZS
CRICKET_GROUND_OHT,168,168h,0.008965363681666753,0.00869121672057726,-3.1542989883157047,NPTS
F_BLOCK,168,168h,0.3627728198487594,0.41773575516297584,13.157345196073324,Chronos2-ZS
GJBC_BLOCK_1_A1_BOYS,168,168h,0.08271442577765634,0.08277432197063948,0.07236083794729553,Chronos2-ZS
GJBC_BLOCK_1_A2_GIRLS,168,168h,0.07881946833328277,0.0788156257775566,-0.0048753729837892525,NPTS
GJBC_BLOCK_1_A3,168,168h,0.10469019337513459,0.10706145807414781,2.214863071798394,Chronos2-ZS
GJBC_BLOCK_1_A4_RO,168,168h,0.0041839825659931214,0.0041602388653894,-0.5707292627174425,NPTS
GJBC_BLOCK_2_A1,168,168h,0.12083206136907511,0.15885621729379518,23.93620883871145,Chronos2-ZS
GJBC_LAW_BLOCK_3_A4_BOYS,168,168h,0.6173658075193826,0.6582383677531725,6.20938587540924,Chronos2-ZS
GJBC_LAW_BLOCK_3__A1,168,168h,0.41569284696393977,0.43627284105131414,4.717230171326151,Chronos2-ZS
GJBC_LAW_BLOCK_3__A2,168,168h,0.19047376694356544,0.25143816869868124,24.246279739721775,Chronos2-ZS
GJBC_LAW_BLOCK_3__A3_GIRLS,168,168h,0.16917744140448218,0.18552625031102266,8.812127059719453,Chronos2-ZS
G_BLOCK,168,168h,0.3668366765898832,0.3608036825080866,-1.672098810039563,NPTS
I&H_BLOCK,168,168h,0.3083600382292914,0.3051555113212242,-1.0501291273399118,NPTS
INFORMATION_CENTRE,168,168h,0.015761212986439992,0.015349589450111969,-2.6816582793034955,NPTS
IT_BLOCK,168,168h,0.062048877977422444,0.06636974371734262,6.510294447304194,Chronos2-ZS
ME_WORKSHOP_BLOCK,168,168h,0.025346416937908917,0.026061209256033842,2.742744249135069,Chronos2-ZS
MM_BLOCK,168,168h,0.24666358234752436,0.25028614083105255,1.4473667904662275,Chronos2-ZS
MRD_BLOCK,168,168h,0.8408850719549669,0.866752923612839,2.9844550797761986,Chronos2-ZS
NBX,168,168h,0.3111627469917367,0.2976688344172086,-4.533196295456045,NPTS
NEW_BLOCK,168,168h,0.036239670691916706,0.038442398606618564,5.729944005946126,Chronos2-ZS
NEW_BLOCK_RO,168,168h,0.0004302059239936141,0.0003732271709380443,-15.26650723535568,NPTS
TECH_PARK,168,168h,0.1784703980838223,0.2235108235879572,20.15133977903774,Chronos2-ZS
