model,horizon,item_id,n,mae,rmse,mase,rmsse,mean_actual,mean_pred,scaled_ok
Theta,48,GJBC_LAW_BLOCK_3__A3_GIRLS,1139,0.18177954783497624,0.2344740225760386,0.7123670796094944,0.5174466671517522,0.33749780509218613,0.3200334903269368,True
Theta,48,G_BLOCK,1139,0.45223177308863444,0.8248586044383577,0.8964691760905619,0.7231773794041253,1.0233450395083408,1.0292972268558092,True
Theta,48,I&H_BLOCK,1139,0.6146309897071612,1.5172642598647108,1.6297805473688984,1.446166886459844,0.3123090430201932,0.45749891936535036,True
Theta,48,INFORMATION_CENTRE,1139,0.03803133722725337,0.08616587497283743,4.496739950348538,1.4525726781261452,0.017383669885864792,0.027632812108948693,True
Theta,48,IT_BLOCK,1139,0.08201417000369902,0.14117490047291814,1.4060351689672002,0.8740887989576452,0.09395083406496928,0.09417893485504077,True
Theta,48,ME_WORKSHOP_BLOCK,1139,0.04318608554482602,0.06570514341952398,0.26063320309813076,0.08883650008634218,0.036523266022827044,0.033024889171478666,True
Theta,48,MM_BLOCK,1139,0.2694401678210978,0.3947064635221369,0.6090707716214401,0.5077628829870002,1.1396049165935032,1.141651845442699,True
Theta,48,MRD_BLOCK,1139,0.9150436983134854,1.4064143430066987,0.7601803201549013,0.4893614067067014,1.4137137840210712,1.1232745840273324,True
Theta,48,NBX,1133,0.4446559665882246,0.8916726238295878,1.050326987957227,0.8769643879550664,0.7871138570167696,0.7835387337498796,True
Theta,48,NEW_BLOCK,1139,0.04488399693368941,0.07170361279786655,0.6490937047053515,0.5382555117618759,0.17575065847234417,0.17128087910619547,True
