tank,horizon,horizon_label,n_observations,mean_actual_kl_h,chronos2_mae,npts_mae,seasonal_naive_mae,chronos2_rmse,npts_rmse,seasonal_naive_rmse,chronos2_mase,npts_mase,seasonal_naive_mase,chronos2_rmsse,npts_rmsse,seasonal_naive_rmsse,chronos2_vs_npts_pct,chronos2_vs_npts_pct_mae,chronos2_vs_naive_pct,winner,beats_seasonal_naive_reference,sensor_trust_tier,missing_pct,zero_pct,rel_resid,panel_mean_kl_h
INFORMATION_CENTRE,6,6h,142,0.014084507042253521,0.014391377174728354,0.014084507042253521,0.03077464788732395,0.05990282632513707,0.060000000000000005,0.09380456158763222,1.663654071242914,1.6286789285961936,3.6102528822592204,0.9980915598609619,0.9997177406386832,1.5772741498124219,-2.1474547274254063,-2.1787779405713086,53.91862771114709,NPTS,False,dead,4.02,91.87,0.1863,0.0052
IT_BLOCK,6,6h,142,0.09190140845070423,0.06340652375678782,0.0678169014084507,0.11119718309859154,0.11540619161134122,0.13796049648920988,0.19830443234412068,1.0812145747886426,1.1564069116411217,1.8963154465162912,0.7122155883689778,0.8511428133975836,1.2234020201602274,6.502238623407181,6.503360607851811,42.98340095394283,Chronos-2,False,degraded,0.45,39.96,0.1157,0.0567
ME_WORKSHOP_BLOCK,6,6h,142,0.03492957746478873,0.025955958472381174,0.02612676056338028,0.03471830985915493,0.036973756579607296,0.04060285149217693,0.05217117006465825,0.15673233380123397,0.15777551799792858,0.20991881129897472,0.05005062905444345,0.05498288327125494,0.0706913037170128,0.6611825522311411,0.6537438523415888,25.3366895365992,Chronos-2,True,degraded,19.88,18.4,0.1447,0.1211
MM_BLOCK,6,6h,142,1.0646478873239438,0.25691986159539554,0.2661971830985915,0.35774647887323946,0.40220754914317514,0.44453488907579997,0.5497348912923623,0.5809488066875899,0.6019744225798266,0.8086572078476039,0.5177810618727675,0.5723710883306249,0.7076265137799798,3.492775623610248,3.4851313583434673,28.158829099675444,Chronos-2,True,healthy,0.63,3.9,0.0577,1.1283
MRD_BLOCK,6,6h,142,1.3928873239436619,0.6201959884334618,0.8430985915492957,1.1230985915492957,1.2268123365888446,1.365547921810349,1.8076095022642629,0.5150049306436355,0.7001806153082909,0.9325714984880109,0.42740396916838574,0.4757041926948405,0.629799219129427,26.446845373335876,26.438497863722365,44.775823464622384,Chronos-2,True,healthy,1.45,13.63,0.086,1.3927
NBX,6,6h,142,0.7847887323943662,0.3586004088378288,0.33598591549295775,0.4576760563380282,0.6019177042173319,0.601429634815082,0.7822075118210613,0.8453717719752546,0.7921864782431961,1.0791479354752056,0.5854702826481452,0.5849703426962708,0.7600049883096024,-6.713734100840201,-6.730786113962874,21.663032084383044,NPTS,True,healthy,0.38,8.62,0.0824,0.6566
NEW_BLOCK,6,6h,142,0.17204225352112676,0.033934713555893434,0.03429577464788732,0.04873239436619719,0.06229972108302819,0.06362854351072146,0.09661889705231391,0.4911099349387236,0.49615745214084767,0.7054425146410798,0.46843136201849495,0.47828864922885556,0.7269373671141817,1.0173216547176172,1.0527859355879268,30.382713722805022,Chronos-2,True,healthy,0.47,13.98,0.0739,0.1241
NEW_BLOCK_RO,6,6h,142,0.00028169014084507044,0.00039114543697534417,0.00028169014084507044,0.00042253521126760566,0.0016560473600642246,0.0016783627165933783,0.002055566129482595,0.1936241287605506,0.1391715236196239,0.20918270848165613,0.04976240261834077,0.05043180212444069,0.06185331686799638,-39.12625494404561,-38.85663012624717,7.437794373175881,NPTS,True,dead,0.35,96.34,1.6337,0.0012
TECH_PARK,6,6h,142,0.3949295774647887,0.14748612266611044,0.22323943661971832,0.3255633802816902,0.24145207775051844,0.34221935145026827,0.5156556062192595,0.43041289559574614,0.6515133211341281,0.9500763140835378,0.24221398057079682,0.34315439493241645,0.5164011901508669,33.93643972674254,33.933661140101954,54.69701862729513,Chronos-2,True,healthy,0.76,11.22,0.0889,0.44
BE_BLOCK_OHT,12,12h,286,1.8353846153846152,0.6704878746546232,0.6692307692307693,0.8947202797202798,1.0813252362463885,1.0883046416362439,1.4195610224655708,0.707039426773309,0.7057610793575329,0.9434513420521606,0.6768062775391065,0.6812287141719712,0.8884958646192377,-0.18113033619533847,-0.18784333919656462,25.058199055037342,NPTS,True,healthy,9.9,3.12,0.097,1.6739
