model,horizon,n_tanks,n_tanks_scaled,rows_evaluated,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,p10_p90_coverage,p10_p90_width
SeasonalNaive,48,24,24,27323,0.32002254284849757,0.6428036904754579,1.0501945790811311,0.8058212371100731,0.6324638877455991,1.1635460715962764,0.921201917798192,2.0575858992492932
Chronos2-COV-XL,72,24,24,41140,0.21586891328639712,0.46567249545559,0.6641433465344421,0.570747728857825,0.43945737694927645,0.8477036515250091,0.7718765192027224,0.6564825488966354
Chronos2-COV,72,24,24,41140,0.21617831253091047,0.46628722029194364,0.6647538344714439,0.5710611564894209,0.4407293664639093,0.8491539534135433,0.7686436558094312,0.6494593901646372
Chronos2-COV-LEAN,72,24,24,41140,0.2161201591167936,0.46694874186921825,0.6657022363279205,0.5717391675999733,0.439938044244895,0.8498426716041045,0.7366553232863393,0.6437726892673608
Chronos2-ZS,72,24,24,41140,0.21743471063758035,0.46765276043760023,0.66641223023346,0.5718178637677472,0.44312907032392784,0.8496542016139697,0.7322557122022363,0.6231141062790652
NPTS,72,24,24,41140,0.23071861774745714,0.4903506771380301,0.7090135594740206,0.6052801005042499,0.46220889418599626,0.8827864241421545,0.8393048128342246,0.681041079241614
ETS,72,24,24,41140,0.2748587288362271,0.48697468463740456,0.9780390131667435,0.6138190285181361,0.5288278350398311,0.8861653443642816,0.9155080213903743,1.3392432566587997
Theta,72,24,24,41140,0.2910084930188907,0.508862541849145,0.990601514480059,0.6401312130331976,0.5616310710881534,0.925532831779262,0.9543996110841031,2.184177593453695
DynamicOptimizedTheta,72,24,24,41140,0.29172428125727207,0.5099183558667992,0.9909179209090332,0.6412192101252467,0.5633412064831179,0.9278242292163434,0.9555420515313563,2.2037496646739556
SeasonalNaive,72,24,24,41140,0.324793791116459,0.6465391217980355,1.0627915958197416,0.8116615187208079,0.6403577605201048,1.1669505342531281,0.9334224598930482,2.3504925089304134
Chronos2-COV-XL,168,24,24,96405,0.21806495207486445,0.46104748607418206,0.6628285494027311,0.5636253402944158,0.44444479210816884,0.8433565822695271,0.7751050256729423,0.666970704629866
Chronos2-COV,168,24,24,96405,0.21834368965483156,0.4616841322323319,0.6632232062989839,0.5640761610796643,0.4453182576939345,0.8447929286300844,0.775986722680359,0.6600761308589115
Chronos2-COV-LEAN,168,24,24,96405,0.2183541181062275,0.46229298659364854,0.6640437404718769,0.5647874852655826,0.44487091100441833,0.8455011527484265,0.749483947928012,0.6575392385440215
Chronos2-ZS,168,24,24,96405,0.21985498777080448,0.4634829891878822,0.6652746941366917,0.5647462864391725,0.44842645648053947,0.8465525899716585,0.7428037964835849,0.6323352032182912
NPTS,168,24,24,96405,0.23256038744102758,0.4842744718551207,0.7057384961739203,0.5956817238344313,0.466863879988411,0.876043583974323,0.8363362896115347,0.6802921010321041
ETS,168,24,24,96405,0.2766253924384447,0.4818167440953056,0.9799233659895142,0.6073840518701408,0.5356408381785176,0.8825568506154876,0.9225040195010632,1.4564204890768806
DynamicOptimizedTheta,168,24,24,96405,0.2989323085400248,0.5102214786257794,1.014814705943428,0.6417264331408107,0.5794128742895179,0.9329897318869609,0.9661324620092319,2.768958189971
Theta,168,24,24,96405,0.29843774022723185,0.5093742702225919,1.0161512417476553,0.64077413563826,0.5780412308735791,0.9311044081566918,0.9649499507286966,2.7377962937252662
SeasonalNaive,168,24,24,96405,0.32765258621679605,0.6440618938463764,1.0687578490419327,0.8085297032727574,0.6482492151244708,1.1670152306999548,0.9592655982573518,3.2588669803512778
