model,horizon,n_tanks,rows,mae,rmse,mase,rmsse,vw_mae,vw_rmse,p10_p90_coverage
Chronos2-ZS,6,24,3405,0.19741258850553622,0.3975839384598419,0.6017334793050494,0.490958563148663,0.391073734555413,0.7225336915286316,0.720704845814978
Chronos2-ZS,12,24,6861,0.20290535126803044,0.42069610181860506,0.6294158881434958,0.5271360980123537,0.4049919670560594,0.7606116990753092,0.7137443521352572
Chronos2-ZS,24,24,13530,0.2115649801623051,0.46395104526210146,0.6552219084375984,0.566985865273001,0.4272729562101331,0.8423534986704653,0.7220990391722099
Chronos2-ZS,48,24,27323,0.21614410676058826,0.4688044625576788,0.6655663677643385,0.5721864830584962,0.4392224989594083,0.8529266273277206,0.7288365113640523
Chronos2-ZS,72,24,41140,0.21743471063758035,0.46765276043760023,0.66641223023346,0.5718178637677472,0.44312907032392784,0.8496542016139697,0.7322557122022363
Chronos2-ZS,168,24,96405,0.21985498777080448,0.4634829891878822,0.6652746941366917,0.5647462864391725,0.44842645648053947,0.8465525899716585,0.7428037964835849
SeasonalNaive,6,24,3405,0.30951265747965007,0.5649063723280547,0.9806156959640969,0.7174482754916068,0.6036064605912418,1.021678774310371,0.9030837004405287
NPTS,6,24,3405,0.23055244536764954,0.44198181427677846,0.6871318637389879,0.5493968435816757,0.4489204026187261,0.7865254349670973,0.8499265785609398
SeasonalNaive,12,24,6861,0.3041428984737289,0.5778667230853216,0.9665543676105562,0.739898243371349,0.5936227067332187,1.0363129035252376,0.9017635913132196
NPTS,12,24,6861,0.22552924769576713,0.4518694063576434,0.6923200085048317,0.5687552682409074,0.4412163039235655,0.8046795638912713,0.8456493222562309
SeasonalNaive,24,24,13530,0.3177993404002478,0.6455508965411411,1.0319684766451995,0.8020138838446383,0.6309079948090974,1.1738382721623117,0.9002217294900222
NPTS,24,24,13530,0.23027012932832705,0.49208245175423987,0.7097936683262253,0.6063940238364106,0.459094866030104,0.8869006946672288,0.8422764227642277
SeasonalNaive,48,24,27323,0.32002254284849757,0.6428036904754579,1.0501945790811311,0.8058212371100731,0.6324638877455991,1.1635460715962764,0.921201917798192
NPTS,48,24,27323,0.23121475379898734,0.493388295260251,0.7113190445337308,0.6075483419800304,0.4627091336146845,0.8899179387660054,0.8407934707023387
SeasonalNaive,72,24,41140,0.324793791116459,0.6465391217980355,1.0627915958197416,0.8116615187208079,0.6403577605201048,1.1669505342531281,0.9334224598930482
NPTS,72,24,41140,0.23071861774745714,0.4903506771380301,0.7090135594740206,0.6052801005042499,0.46220889418599626,0.8827864241421545,0.8393048128342246
SeasonalNaive,168,24,96405,0.32765258621679605,0.6440618938463764,1.0687578490419327,0.8085297032727574,0.6482492151244708,1.1670152306999548,0.9592655982573518
NPTS,168,24,96405,0.23256038744102758,0.4842744718551207,0.7057384961739203,0.5956817238344313,0.466863879988411,0.876043583974323,0.8363362896115347
