model,item_id,horizon,n_windows,mean_actual_kl_per_window,mae_kl_per_window,err_pct_of_window,bias_kl_per_window,bias_pct
Chronos2-COV-LEAN,GJBC_BLOCK_1_A4_RO,24,24,0.09416666666666666,0.09130035918458208,96.9561336473438,-0.09130035918458208,-96.95613364734382
Chronos2-COV-LEAN,NEW_BLOCK_RO,24,24,0.009166666666666667,0.008860659669104886,96.66174184478056,-0.006484467776269109,-70.73964846839027
Chronos2-COV-XL,BE_BLOCK_OHT,24,24,45.59291666666667,7.945664576888085,17.427410128155326,-7.252906331618628,-15.907967425390186
Chronos2-COV-XL,MRD_BLOCK,24,24,32.63583333333333,11.27479520569245,34.54728761032337,-7.697336900134881,-23.585538084829707
Chronos2-COV-XL,GJBC_LAW_BLOCK_3_A4_BOYS,24,24,30.096666666666668,6.583397289911905,21.874174182894798,-4.169957332611084,-13.855213199505206
Chronos2-COV-XL,MM_BLOCK,24,24,26.8925,1.4469753584265712,5.380590716469541,0.9070682284235957,3.3729412602903994
Chronos2-COV-XL,G_BLOCK,24,24,24.24083333333333,3.824638341963291,15.77766857009849,1.1505679054061573,4.746404092568974
Chronos2-COV-XL,NBX,24,24,18.774166666666662,3.8187968780597044,20.340699781045082,-2.657831349174181,-14.156853917213448
Chronos2-COV-XL,F_BLOCK,24,24,16.680833333333336,5.040945548017819,30.219986299752122,-4.123811601201694,-24.72185602958501
Chronos2-COV-XL,GJBC_LAW_BLOCK_3__A1,24,24,14.632916666666668,5.93817059767743,40.58090900773322,-5.309775543188056,-36.28651528702791
Chronos2-COV-XL,GJBC_LAW_BLOCK_3__A2,24,24,10.1625,2.0343116015195846,20.017826337216086,0.8088796973228455,7.959455816214963
Chronos2-COV-XL,GJBC_BLOCK_2_A1,24,24,9.51625,1.2583699078361192,13.22338009022587,-0.09120708142717658,-0.9584351128561838
Chronos2-COV-XL,TECH_PARK,24,24,9.40875,2.198242371628682,23.363808918598988,0.010040007630983894,0.10670926138949269
Chronos2-COV-XL,GJBC_LAW_BLOCK_3__A3_GIRLS,24,24,8.009583333333333,1.9748314798126618,24.655857834627206,0.769423786724607,9.606289799402054
Chronos2-COV-XL,I&H_BLOCK,24,24,7.381666666666665,7.117131692444285,96.41632457589913,-7.08635036724309,-95.99932762126562
Chronos2-COV-XL,GJBC_BLOCK_1_A3,24,24,4.454166666666667,1.0154656950260204,22.79810727841393,-0.5787832166378697,-12.994197567173874
Chronos2-COV-XL,NEW_BLOCK,24,24,4.11,0.29200519030292826,7.104749155789008,-0.16382265585164227,-3.9859526971202497
