item_id,horizon,winner,beats_seasonal_naive,mean_actual_kl_h,mae_chronos2,mae_npts,rmse_chronos2,rmse_npts,mase_chronos2,mase_npts,rmsse_chronos2,rmsse_npts,pct_impr_mae,pct_impr_rmse,pct_impr_mase,pct_impr_rmsse
GJBC_BLOCK_1_A2_GIRLS,24,Chronos-2,True,0.1647340425531915,0.0732540366576707,0.07804964539007092,0.11793285999803942,0.12259603270107297,0.5380126759360251,0.5733309518363964,0.5512679182852966,0.5730449012680344,6.144305599894871,3.803689728201737,6.160189989262882,3.8002227983443615
MM_BLOCK,24,Chronos-2,True,1.1443617021276598,0.23676923800022043,0.23780141843971633,0.36331871690288886,0.3870757801444933,0.5352375483495482,0.5375858564765574,0.46739063815331383,0.4979929303100282,0.4340514225139358,6.137574206460565,0.4368247599370503,6.145125822903303
TECH_PARK,24,Chronos-2,True,0.40037234042553194,0.18035242630129164,0.22379432624113474,0.34583155082768385,0.3887851600938748,0.5259909957206631,0.652726489281266,0.3462447850235837,0.38912063313215534,19.411528732428703,11.048160700325992,19.416324546619002,11.018651918673742
NEW_BLOCK,24,Chronos-2,True,0.17489361702127657,0.035839806959984156,0.037960992907801416,0.06535282988316055,0.06827536028974901,0.518461551447448,0.5490161302206279,0.4908793628461872,0.5126623717266464,5.587804178276201,4.280505286512941,5.565333528707295,4.248997016709856
GJBC_LAW_BLOCK_3__A2,24,Chronos-2,True,0.4324468085106383,0.1704784379698706,0.23700354609929075,0.35467189259638376,0.5114058983897246,0.3993731757206316,0.5551476653600478,0.1937219897913166,0.27925075381938474,28.069245892865236,30.647672677779585,28.0600098603291,30.627943831223057
NEW_BLOCK_RO,24,NPTS,True,0.0003900709219858156,0.0004689336296852929,0.0003900709219858156,0.0019501814225367938,0.0019750213213679886,0.23353983252075872,0.19426360350801689,0.0589336679634121,0.059684980142765826,-20.217530519320537,1.257702818822715,-20.218007029361512,1.2587960615159672
ME_WORKSHOP_BLOCK,24,Chronos-2,True,0.037429078014184394,0.02640896702858996,0.027606382978723403,0.04924317631729478,0.05178207198175257,0.15937136393471432,0.16659036545902495,0.06646463987127435,0.06990869350987897,4.337460474471822,4.9030399273178285,4.333384769532925,4.926502650371987
CRICKET_GROUND_OHT,24,NPTS,True,0.008421985815602837,0.00876041615864011,0.008634751773049646,0.03446096097867915,0.03469982729329351,0.15529602759769767,0.15302766184608255,0.26836333025114034,0.270232673733049,-1.455332925524052,0.6883789725965745,-1.4823239957078356,0.6917533161646063
GJBC_BLOCK_1_A4_RO,24,NPTS,True,0.0040070921985815595,0.004039280416971528,0.0040070921985815595,0.019067060745055674,0.019102188801843535,0.06773673772909286,0.06719333310993704,0.09611754639811591,0.09629619033294438,-0.8032812022983233,0.1838954538260625,-0.8087180587793442,0.18551505953746328
INFORMATION_CENTRE,168,NPTS,False,0.015349589450111969,0.015761212986439992,0.015349589450111969,0.06518654824536943,0.06542243155740471,1.828493417635586,1.7806780756654128,1.0904044803685435,1.094393698409071,-2.6816582793034955,0.3605541806074629,-2.6852322507708393,0.3645139812415395
GJBC_LAW_BLOCK_3__A1,168,Chronos-2,False,0.6534518147684606,0.41569284696393977,0.43627284105131414,1.5740746990950283,1.5919969984437212,1.6862899179300648,1.7701926151387295,1.4305437720307514,1.446861508125014,4.717230171326151,1.12577469468932,4.739749589458619,1.127802212072716
IT_BLOCK,168,Chronos-2,False,0.09161731774073154,0.062048877977422444,0.06636974371734262,0.12748394668935653,0.14143208822961745,1.0634600737528574,1.1384217604875575,0.7897243363288329,0.8763829448583084,6.510294447304194,9.86207706812323,6.584702553699943,9.888212571672794
I&H_BLOCK,168,NPTS,True,0.30510077133615326,0.3083600382292914,0.3051555113212242,1.455757409554539,1.460407663945814,0.8180797011426186,0.8096533427617191,1.3939124058741477,1.3982029586418538,-1.0501291273399118,0.31842166444886016,-1.040736564139578,0.3068619431240378
BE_BLOCK_OHT,168,Chronos-2,True,1.8786290121920877,0.7210642366867274,0.7310251306295099,1.1734561409828645,1.2007683220855763,0.7605195261704695,0.7709758947753615,0.734490511463817,0.7515126738807218,1.3625925464703095,2.2745587637816813,1.3562510417966747,2.265053273021249
GJBC_LAW_BLOCK_3_A4_BOYS,168,Chronos-2,True,1.2819656631002738,0.6173658075193826,0.6582383677531725,1.0024236215909157,1.0876118001007242,0.7455654121894596,0.7949503691067616,0.6257641459390406,0.6789464441899238,6.20938587540924,7.8325904979993055,6.212332094743598,7.833062343280543
NBX,168,NPTS,True,0.7322611305652826,0.3111627469917367,0.2976688344172086,0.6475362400213808,0.6554336706702854,0.734624293035989,0.7028854915847597,0.6362734126106396,0.6442401993141463,-4.533196295456045,1.204916836333446,-4.515501007094268,1.236617446720662
G_BLOCK,168,NPTS,True,1.0174222443393879,0.3668366765898832,0.3608036825080866,0.7872919047433694,0.7827939605495204,0.7271086799157243,0.7151839659788722,0.6895639487990568,0.6856471260472841,-1.672098810039563,-0.574601289807016,-1.667363154671772,-0.5712592677742263
