item_id,trust,mean_actual_kl_h,mae,rmse,mae_pct_of_mean,mase,rmsse,bias_mean_error,worst_abs_error,n_rows,n_zero_actual,n_used_for_tolerance,pct_within_10,pct_within_20,pct_within_30
GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.323018163722319,0.16917744140448218,0.23496402239212227,52.37397162282018,0.6630468052567543,0.518379759236486,-0.06256794066564393,1.0719579935073853,4019,452,3567,20.213064199607516,37.4824782730586,52.48107653490328
I&H_BLOCK,degraded,0.30510077133615326,0.3083600382292914,1.455757409554539,101.06825914561428,0.8180797011426186,1.3939124058741477,0.28851849511358446,19.733292570114134,4019,2311,1708,1.5807962529274004,2.6346604215456675,4.742388758782202
GJBC_BLOCK_1_A3,healthy,0.18890768847972134,0.10469019337513459,0.1533955125210871,55.4187043511322,0.6207790904819117,0.558380896752865,0.017056088246985377,1.2736782509088516,4019,318,3701,15.644420426911646,30.28911105106728,44.44744663604431
NEW_BLOCK,healthy,0.17475491415775066,0.036239670691916706,0.0660592095196722,20.73742582094331,0.524235979657118,0.49608959003671915,0.007874345029207213,0.42161527276039124,4019,54,3965,45.447667087011354,68.37326607818412,79.04161412358134
GJBC_BLOCK_1_A2_GIRLS,healthy,0.16429957700920625,0.07881946833328277,0.12344035333275659,47.97301963161247,0.5786985937802012,0.5764900390949508,0.016649325840002744,1.0486459809541702,4019,223,3796,16.332982086406744,32.50790305584827,48.314014752370916
GJBC_BLOCK_1_A1_BOYS,degraded,0.15860413038069174,0.08271442577765634,0.12040090626211884,52.151495411323715,0.6222481802228614,0.5609032648532891,0.010633982393643136,0.9806075102090837,4019,284,3735,14.216867469879519,32.50334672021419,46.63989290495314
IT_BLOCK,degraded,0.09161731774073154,0.062048877977422444,0.12748394668935653,67.72614556673115,1.0634600737528574,0.7897243363288329,0.025660211443548835,1.0747906804084777,4019,1003,3016,9.980106100795757,20.05968169761273,29.310344827586203
ME_WORKSHOP_BLOCK,degraded,0.03508584224931575,0.025346416937908917,0.04425069722941261,72.24115287813342,0.15294908682972036,0.05974754280961567,0.00672275155860561,0.5602627237141132,4019,941,3078,9.58414554905783,19.525666016894085,30.116959064327485
INFORMATION_CENTRE,dead,0.015349589450111969,0.015761212986439992,0.06518654824536943,102.68165827930349,1.828493417635586,1.0904044803685435,0.014558916734339185,0.5895111720636487,4019,3379,640,0.3125,0.46875,0.625
BE_BLOCK_RO,dead,0.01094302065190346,0.007562393314736004,0.013156914602631862,69.10700029996362,0.5724516930577882,0.21088697811856819,0.0021973331095096957,0.10101652435958386,4019,2324,1695,8.200589970501476,15.398230088495577,22.005899705014752
CRICKET_GROUND_OHT,degraded,0.008621547648668822,0.008965363681666753,0.03198390728405941,103.9878690811506,0.15949164157064669,0.24941023178937802,0.00777459125882411,0.5591912581026555,4019,2876,1143,0.0,0.0,0.0
GJBC_BLOCK_1_A4_RO,degraded,0.0041602388653894,0.0041839825659931214,0.020145117299494465,100.57072926271744,0.0700659833288958,0.10121512310561429,0.004043512005603062,0.43,4019,2784,1235,0.0,0.0,0.0
NEW_BLOCK_RO,dead,0.0003732271709380443,0.0004302059239936141,0.0019100806275272665,115.26650723535568,0.21423082075179364,0.057730081594719575,0.00030714488831242354,0.009970894656144083,4019,3869,150,0.0,0.0,0.0
