model,day,actual_kl,pred_raw_kl,pred_kl,lower_kl,upper_kl,n_scored,n_expected,coverage_pct,error_kl,abs_error_kl,error_raw_kl,inside_band,d_lo,d_hi,band_lo,band_hi,inside_daily_band
Chronos2-ZS,2026-03-24,301.67,248.13055189576698,272.23503311112137,101.05498738995233,484.559357216347,576,576,100.0,-29.434966888878648,29.434966888878648,-53.53944810423303,True,-21.914552807581387,38.817982005248055,250.32048030353997,311.0530151163694,True
Chronos2-ZS,2026-03-25,163.13,141.06128674780484,155.29888750551464,68.4181742407037,268.1339097332136,312,576,54.166666666666664,-7.831112494485353,7.831112494485353,-22.068713252195153,True,-21.914552807581387,38.817982005248055,133.38433469793324,194.11686951076268,True
Chronos2-ZS,2026-03-26,335.5,247.82276919009746,271.8065642052305,97.55804990295667,509.2176092796608,576,576,100.0,-63.69343579476953,63.69343579476953,-87.67723080990254,True,-21.914552807581387,38.817982005248055,249.89201139764907,310.6245462104785,False
Chronos2-ZS,2026-03-27,309.1,264.6651412099309,289.2266517486476,116.13312319277912,524.2028385775398,576,576,100.0,-19.87334825135241,19.87334825135241,-44.43485879006914,True,-21.914552807581387,38.817982005248055,267.3120989410662,328.04463375389565,True
Chronos2-ZS,2026-03-28,283.06,213.80288152131834,232.44600000783777,79.777651797211,449.77137999212727,576,576,100.0,-50.613999992162235,50.613999992162235,-69.25711847868166,True,-21.914552807581387,38.817982005248055,210.53144720025637,271.2639820130858,False
Chronos2-ZS,2026-03-29,207.09,186.69984281656798,201.1027199832509,68.49047088632203,395.02620233683,576,576,100.0,-5.987280016749111,5.987280016749111,-20.390157183432024,True,-21.914552807581387,38.817982005248055,179.1881671756695,239.92070198849893,True
Chronos2-ZS,2026-03-30,299.97,268.5345442460384,292.22630462542725,126.54411732948874,522.8977226365635,576,576,100.0,-7.743695374572781,7.743695374572781,-31.435455753961605,True,-21.914552807581387,38.817982005248055,270.31175181784585,331.0442866306753,True
Chronos2-ZS,2026-03-31,324.68,274.69938412020565,301.3957176875284,139.73942026258973,497.42943617320026,576,576,100.0,-23.28428231247159,23.28428231247159,-49.98061587979436,True,-21.914552807581387,38.817982005248055,279.481164879947,340.21369969277646,True
Chronos2-ZS,2026-04-01,326.9,271.1338016265654,298.0404582146137,128.01533457262894,527.11653062482,576,576,100.0,-28.859541785386284,28.859541785386284,-55.76619837343458,True,-21.914552807581387,38.817982005248055,276.1259054070323,336.85844021986173,True
Chronos2-ZS,2026-04-02,353.5,277.68158218677854,304.91579397811194,115.37728873253319,587.8755823228038,576,576,100.0,-48.584206021888065,48.584206021888065,-75.81841781322146,True,-21.914552807581387,38.817982005248055,283.00124117053053,343.73377598336,False
