model,item_id,n,mean_actual_kl_h,raw_factor,factor,applied,clipped
SeasonalNaive-24,GJBC_LAW_BLOCK_3__A3_GIRLS,1440,0.4589027777777777,1.0002421820603637,1.0002421820603637,True,False
SeasonalNaive-24,G_BLOCK,1440,1.001486111111111,0.994071990846051,0.994071990846051,True,False
SeasonalNaive-24,I&H_BLOCK,1440,0.2906805555555556,1.0215247950019526,1.0215247950019526,True,False
SeasonalNaive-24,INFORMATION_CENTRE,1439,0.008874218207088254,1.0450081833060554,1.0,False,False
SeasonalNaive-24,IT_BLOCK,1440,0.058701388888888886,1.0033234421364985,1.0033234421364985,True,False
SeasonalNaive-24,ME_WORKSHOP_BLOCK,1092,0.05996336996336997,0.9631073493234155,0.9631073493234155,True,False
SeasonalNaive-24,MM_BLOCK,1421,1.1132723434201266,0.9990794748145457,0.9990794748145457,True,False
SeasonalNaive-24,MRD_BLOCK,1440,1.2144027777777777,0.9891678780919628,0.9891678780919628,True,False
SeasonalNaive-24,NBX,1437,0.7036604036186499,0.9971332905309561,0.9971332905309561,True,False
SeasonalNaive-24,NEW_BLOCK,1437,0.15264439805149618,1.0051453596842086,1.0051453596842086,True,False
SeasonalNaive-24,NEW_BLOCK_RO,1440,0.0012291666666666668,0.9943820224719101,1.0,False,False
SeasonalNaive-24,TECH_PARK,1440,0.47984722222222226,0.9898434254444398,0.9898434254444398,True,False
