model,horizon,tank,n,mae,mase,mean_actual,trust,horizon_label
Chronos2-COV-LEAN,24,NBX,561,0.349578699759621,0.8253926442423455,0.8031729055258466,healthy,1 d
Chronos2-COV-LEAN,24,NEW_BLOCK,564,0.035322030802250756,0.5109289422703744,0.1748936170212766,healthy,1 d
Chronos2-COV-LEAN,24,NEW_BLOCK_RO,564,0.0004901979971038845,0.24411820261286518,0.0003900709219858156,dead,1 d
Chronos2-COV-LEAN,24,TECH_PARK,564,0.17818219563639756,0.5196545682288498,0.40037234042553194,healthy,1 d
Chronos2-COV-LEAN,48,BE_BLOCK_OHT,1139,0.7302337854174379,0.7702560252389975,1.935873573309921,healthy,2 d
Chronos2-COV-LEAN,48,BE_BLOCK_RO,1139,0.007973126068112749,0.6037151949245015,0.01141352063213345,dead,2 d
Chronos2-COV-LEAN,48,CRICKET_GROUND_OHT,1139,0.009123406416398848,0.1618156220312429,0.008674275680421423,degraded,2 d
Chronos2-COV-LEAN,48,F_BLOCK,1139,0.37511293014692987,0.6434526575067294,0.716865671641791,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_BLOCK_1_A1_BOYS,1139,0.07990821041094828,0.6012576766218161,0.1584899034240562,degraded,2 d
Chronos2-COV-LEAN,48,GJBC_BLOCK_1_A2_GIRLS,1139,0.07574496066052208,0.5562233523866565,0.16414398595259,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_BLOCK_1_A3,1139,0.10156202077028309,0.6023674021729369,0.18919227392449517,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_BLOCK_1_A4_RO,1139,0.004016453673271176,0.0673494429890174,0.00398595258999122,degraded,2 d
Chronos2-COV-LEAN,48,GJBC_BLOCK_2_A1,1138,0.11890729827757252,0.5707034116777634,0.40746924428822495,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_LAW_BLOCK_3_A4_BOYS,1139,0.5849085571579602,0.7063349465509747,1.2830465320456539,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_LAW_BLOCK_3__A1,1133,0.3851837669561526,1.5621912963442208,0.6342365401588703,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_LAW_BLOCK_3__A2,1139,0.17778328481319183,0.4163160845320187,0.4311676909569798,healthy,2 d
Chronos2-COV-LEAN,48,GJBC_LAW_BLOCK_3__A3_GIRLS,1139,0.15204806727783213,0.5961310261358618,0.33749780509218613,healthy,2 d
Chronos2-COV-LEAN,48,G_BLOCK,1139,0.3485739806684305,0.690880403542578,1.0233450395083405,healthy,2 d
Chronos2-COV-LEAN,48,I&H_BLOCK,1139,0.31401679518141173,0.8321780009537809,0.31230904302019313,degraded,2 d
Chronos2-COV-LEAN,48,INFORMATION_CENTRE,1139,0.017713189286304946,2.064622464554454,0.017383669885864796,dead,2 d
Chronos2-COV-LEAN,48,IT_BLOCK,1139,0.0634406878103202,1.086697003740128,0.09395083406496928,degraded,2 d
Chronos2-COV-LEAN,48,ME_WORKSHOP_BLOCK,1139,0.0260119023857617,0.15699391672221008,0.036523266022827044,degraded,2 d
Chronos2-COV-LEAN,48,MM_BLOCK,1139,0.24250704109093094,0.5481973325243308,1.1396049165935032,healthy,2 d
Chronos2-COV-LEAN,48,MRD_BLOCK,1139,0.7919187023955756,0.6580003175926209,1.4137137840210712,healthy,2 d
Chronos2-COV-LEAN,48,NBX,1133,0.34011166530589776,0.8031899630357038,0.7871138570167696,healthy,2 d
Chronos2-COV-LEAN,48,NEW_BLOCK,1139,0.03554739041533567,0.5141689186220012,0.17575065847234417,healthy,2 d
Chronos2-COV-LEAN,48,NEW_BLOCK_RO,1139,0.0004661527297574425,0.23210348851762588,0.00038630377524143984,dead,2 d
Chronos2-COV-LEAN,48,TECH_PARK,1139,0.1796919295000758,0.5240709214751889,0.4035557506584723,healthy,2 d
Chronos2-COV-LEAN,72,BE_BLOCK_OHT,1715,0.725816036591377,0.765576078323196,1.9161574344023324,healthy,3 d
Chronos2-COV-LEAN,72,BE_BLOCK_RO,1715,0.007926274981718977,0.6001571551381054,0.011131195335276968,dead,3 d
Chronos2-COV-LEAN,72,CRICKET_GROUND_OHT,1715,0.009622964885574563,0.1708812712764261,0.00917201166180758,degraded,3 d
Chronos2-COV-LEAN,72,F_BLOCK,1715,0.37759989976465874,0.6476725832338301,0.720927113702624,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_BLOCK_1_A1_BOYS,1715,0.08057243332066967,0.6062247608815121,0.158600583090379,degraded,3 d
Chronos2-COV-LEAN,72,GJBC_BLOCK_1_A2_GIRLS,1715,0.07669245823444501,0.5631654478905544,0.16416909620991255,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_BLOCK_1_A3,1715,0.1027456934804819,0.6093543682006086,0.18946938775510205,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_BLOCK_1_A4_RO,1715,0.0042779245635931745,0.071696484884044,0.004250728862973761,degraded,3 d
Chronos2-COV-LEAN,72,GJBC_BLOCK_2_A1,1713,0.11969562631215676,0.5744507162831217,0.405563339171045,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_LAW_BLOCK_3_A4_BOYS,1715,0.5908910342805935,0.7135640331904104,1.2839475218658891,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_LAW_BLOCK_3__A1,1706,0.3833808466697773,1.5549449779968845,0.6290328253223916,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_LAW_BLOCK_3__A2,1715,0.18354891144499488,0.4297549610601673,0.427399416909621,healthy,3 d
Chronos2-COV-LEAN,72,GJBC_LAW_BLOCK_3__A3_GIRLS,1715,0.1552783329935185,0.6087392975910776,0.33490379008746357,healthy,3 d
Chronos2-COV-LEAN,72,G_BLOCK,1715,0.3565270885107468,0.7066124929826233,1.01667638483965,healthy,3 d
Chronos2-COV-LEAN,72,I&H_BLOCK,1715,0.30072932929547813,0.7973403294561445,0.29879883381924194,degraded,3 d
Chronos2-COV-LEAN,72,INFORMATION_CENTRE,1715,0.01758402167969864,2.04803979047933,0.017247813411078717,dead,3 d
Chronos2-COV-LEAN,72,IT_BLOCK,1715,0.06325504074378195,1.0837554750898626,0.09289795918367347,degraded,3 d
Chronos2-COV-LEAN,72,ME_WORKSHOP_BLOCK,1715,0.02575597420273995,0.15544166952183183,0.0361399416909621,degraded,3 d
Chronos2-COV-LEAN,72,MM_BLOCK,1715,0.24243266495601776,0.5480113422248977,1.136932944606414,healthy,3 d
Chronos2-COV-LEAN,72,MRD_BLOCK,1715,0.8130211809355733,0.675548298587893,1.4237551020408161,healthy,3 d
Chronos2-COV-LEAN,72,NBX,1706,0.3327911781838463,0.7859474735714687,0.7730070339976554,healthy,3 d
Chronos2-COV-LEAN,72,NEW_BLOCK,1715,0.035536361024956664,0.5139796430496361,0.17590087463556853,healthy,3 d
Chronos2-COV-LEAN,72,NEW_BLOCK_RO,1715,0.00043960109517336677,0.21881018494712665,0.00037900874635568517,dead,3 d
Chronos2-COV-LEAN,72,TECH_PARK,1715,0.18076294065147377,0.5271848360093382,0.40137609329446067,healthy,3 d
Chronos2-COV-LEAN,168,BE_BLOCK_OHT,4019,0.7210017113502893,0.7604796058696518,1.8786290121920877,healthy,7 d
Chronos2-COV-LEAN,168,BE_BLOCK_RO,4019,0.00809810601075651,0.6130209069754131,0.01094302065190346,dead,7 d
Chronos2-COV-LEAN,168,CRICKET_GROUND_OHT,4019,0.009085662982445817,0.16163321033679673,0.008621547648668822,degraded,7 d
Chronos2-COV-LEAN,168,F_BLOCK,4019,0.3577538625999421,0.6135700745199946,0.7129634237372481,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_BLOCK_1_A1_BOYS,4019,0.0829731568316673,0.6242078847810305,0.15860413038069174,degraded,7 d
Chronos2-COV-LEAN,168,GJBC_BLOCK_1_A2_GIRLS,4019,0.08002324109240296,0.5875360068524921,0.16429957700920628,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_BLOCK_1_A3,4019,0.10537587771526348,0.6248455742274458,0.18890768847972134,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_BLOCK_1_A4_RO,4019,0.004184239914763716,0.07007231708087035,0.0041602388653894,degraded,7 d
Chronos2-COV-LEAN,168,GJBC_BLOCK_2_A1,4013,0.12133999664914778,0.5822887128052179,0.3998504859207575,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_LAW_BLOCK_3_A4_BOYS,4019,0.6075556608663029,0.7337239958248215,1.2819656631002738,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_LAW_BLOCK_3__A1,3995,0.41388451184378994,1.6791198346278362,0.6534518147684606,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_LAW_BLOCK_3__A2,4019,0.19189066436819308,0.44897756103291775,0.41123413784523516,healthy,7 d
Chronos2-COV-LEAN,168,GJBC_LAW_BLOCK_3__A3_GIRLS,4019,0.1665943825271599,0.6528567126393143,0.323018163722319,healthy,7 d
Chronos2-COV-LEAN,168,G_BLOCK,4019,0.3663012364178221,0.7260464556016433,1.0174222443393879,healthy,7 d
Chronos2-COV-LEAN,168,I&H_BLOCK,4019,0.30694828527206275,0.8143803375903096,0.30510077133615326,degraded,7 d
Chronos2-COV-LEAN,168,INFORMATION_CENTRE,4019,0.0157165124467508,1.8232659432898297,0.015349589450111967,dead,7 d
Chronos2-COV-LEAN,168,IT_BLOCK,4019,0.061977932959568834,1.0627457521722081,0.09161731774073152,degraded,7 d
Chronos2-COV-LEAN,168,ME_WORKSHOP_BLOCK,4019,0.025245263960289404,0.15231878553506686,0.03508584224931575,degraded,7 d
Chronos2-COV-LEAN,168,MM_BLOCK,4019,0.24951397035097597,0.5640126010002029,1.1247001741726799,healthy,7 d
Chronos2-COV-LEAN,168,MRD_BLOCK,4019,0.8249103398760862,0.6852737953559562,1.4343468524508585,healthy,7 d
Chronos2-COV-LEAN,168,NBX,3998,0.30864465543393677,0.7286997405617429,0.7322611305652826,healthy,7 d
Chronos2-COV-LEAN,168,NEW_BLOCK,4019,0.03563672905657593,0.5154942118771317,0.17475491415775068,healthy,7 d
Chronos2-COV-LEAN,168,NEW_BLOCK_RO,4019,0.0004033351551500826,0.2008476145819206,0.0003732271709380443,dead,7 d
Chronos2-COV-LEAN,168,TECH_PARK,4019,0.17543949886811672,0.5116321361852308,0.3910400597163473,healthy,7 d
Chronos2-COV-XL,6,BE_BLOCK_OHT,142,0.6441651659280482,0.679162799485032,1.7737323943661971,healthy,6 h
Chronos2-COV-XL,6,BE_BLOCK_RO,142,0.006048882821915855,0.45839625806752266,0.009788732394366197,dead,6 h
Chronos2-COV-XL,6,CRICKET_GROUND_OHT,142,0.013675907945496517,0.24221472287986007,0.013380281690140846,degraded,6 h
Chronos2-COV-XL,6,F_BLOCK,142,0.2909310695067258,0.4989031188912119,0.687112676056338,healthy,6 h
Chronos2-COV-XL,6,GJBC_BLOCK_1_A1_BOYS,142,0.06123474285006523,0.4609918667396564,0.15492957746478872,degraded,6 h
Chronos2-COV-XL,6,GJBC_BLOCK_1_A2_GIRLS,142,0.05220306797976225,0.3834295186492484,0.15971830985915492,healthy,6 h
Chronos2-COV-XL,6,GJBC_BLOCK_1_A3,142,0.08623241602744855,0.5117953413580352,0.18105633802816903,healthy,6 h
