model,family,horizon,horizon_label,n_tanks,rows,macro_mae,macro_rmse,macro_mase,macro_rmsse,vw_mae,vw_rmse,coverage,width,neg_p10_pct,volume_bias_pct,rank_mase
Theta,statistical,48,2 d,24,27323,0.28739879589526135,0.5061883146022614,0.9845309723584391,0.636589245207153,0.552093397747934,0.9202318220033415,0.9495662994546719,1.9781427327560652,85.69703180470665,-5.13676211079729,9
DynamicOptimizedTheta,statistical,48,2 d,24,27323,0.2882488868879598,0.5072836296457122,0.9855741872528493,0.6377730869530812,0.5539924852592863,0.9225378293586886,0.9506276763166563,1.9930198512413257,86.2789591186912,-5.126826598154138,10
SeasonalNaive,reference,48,2 d,24,27323,0.3200225428484976,0.6428036904754578,1.0501945790811311,0.8058212371100731,0.6324638877455991,1.1635460715962764,0.921201917798192,2.0575858992492932,84.14888555429492,0.4337245048706783,11
Chronos2-COV-XL,foundation,72,3 d,24,41140,0.21586891328639712,0.46567249545559,0.6641433465344421,0.570747728857825,0.43945737694927645,0.8477036515250091,0.7718765192027224,0.6564825488966354,0.0,-14.174321072053493,1
Chronos2-COV,foundation,72,3 d,24,41140,0.21617831253091047,0.46628722029194364,0.664753834471444,0.5710611564894209,0.4407293664639093,0.8491539534135433,0.7686436558094312,0.6494593901646372,0.0,-14.110983529166994,2
Chronos2-COV-LEAN,foundation,72,3 d,24,41140,0.2161201591167936,0.46694874186921825,0.6657022363279205,0.5717391675999733,0.4399380442448951,0.8498426716041045,0.7366553232863393,0.6437726892673608,0.0,-13.785894787225082,3
Chronos2-ZS,foundation,72,3 d,24,41140,0.21743471063758033,0.46765276043760023,0.66641223023346,0.5718178637677472,0.44312907032392784,0.8496542016139697,0.7322557122022363,0.6231141062790652,0.0,-12.68498568585052,4
NPTS,statistical,72,3 d,24,41140,0.23071861774745708,0.4903506771380301,0.7090135594740206,0.6052801005042499,0.46220889418599626,0.8827864241421545,0.8393048128342246,0.681041079241614,0.0,-9.412438887191145,5
PatchTST-Tuned,trained deep,72,3 d,24,41140,0.2634768676635025,0.5149263328998953,0.8089793971698357,0.654594881995637,0.5257811584419559,0.9289926302388619,0.8245503159941663,0.9148221776874341,68.05055906660185,-22.575213561398453,6
PatchTST,trained deep,72,3 d,24,41140,0.28686011010429485,0.5439490532406882,0.8637507550159156,0.6845743836110803,0.5771895383216041,0.9955214464616529,0.7881623723869713,0.8134692510617565,69.07389402041808,-28.85174994887187,7
ETS,statistical,72,3 d,24,41140,0.2748587288362271,0.48697468463740456,0.9780390131667435,0.6138190285181361,0.528827835039831,0.8861653443642817,0.9155080213903743,1.3392432566587997,73.53184248906175,1.196076365484405,8
Theta,statistical,72,3 d,24,41140,0.2910084930188907,0.508862541849145,0.990601514480059,0.6401312130331976,0.5616310710881534,0.9255328317792619,0.9543996110841031,2.184177593453695,87.58872143898881,-5.344779795073365,9
