model,tank,trust,mean_actual,mae,ref_mae,skill
NPTS,NBX,healthy,0.8031729055258466,0.3468449197860963,0.4968805704099822,0.30195515695067265
NPTS,NEW_BLOCK,healthy,0.1748936170212766,0.037960992907801416,0.05079787234042553,0.2527050610820244
NPTS,NEW_BLOCK_RO,dead,0.0003900709219858156,0.0003900709219858156,0.0006205673758865249,0.37142857142857144
NPTS,TECH_PARK,healthy,0.40037234042553194,0.22379432624113474,0.3348581560283688,0.3316742560626921
ETS,BE_BLOCK_OHT,healthy,1.9401241134751774,0.8056714725253983,1.0221631205673758,0.21179755333161376
ETS,BE_BLOCK_RO,dead,0.01148936170212766,0.01202467428348262,0.011631205673758867,-0.03382870364088375
ETS,CRICKET_GROUND_OHT,degraded,0.008421985815602837,0.01220139276821011,0.01620567375886525,0.24709129964217702
ETS,F_BLOCK,healthy,0.7098226950354609,0.49598554400459516,0.6092021276595744,0.1858440384801895
ETS,GJBC_BLOCK_1_A1_BOYS,degraded,0.15852836879432625,0.09357271200937478,0.10400709219858156,0.10032373724365196
ETS,GJBC_BLOCK_1_A2_GIRLS,healthy,0.1647340425531915,0.08043882523202953,0.1023936170212766,0.21441562890277654
ETS,GJBC_BLOCK_1_A3,healthy,0.1895390070921986,0.10300717494001865,0.13134751773049644,0.2157661087180004
ETS,GJBC_BLOCK_1_A4_RO,degraded,0.00400709219858156,0.00547461874052296,0.005602836879432625,0.022884503273750245
ETS,GJBC_BLOCK_2_A1,healthy,0.4049468085106383,0.19488825300384705,0.20960992907801418,0.07023367709211858
ETS,GJBC_LAW_BLOCK_3_A4_BOYS,healthy,1.280709219858156,0.6702866223294193,0.9025886524822695,0.25737308962834937
ETS,GJBC_LAW_BLOCK_3__A1,healthy,0.6260071301247772,0.5181521575589096,0.5237433155080213,0.01067537815482833
ETS,GJBC_LAW_BLOCK_3__A2,healthy,0.4324468085106383,0.22782328342247796,0.2426595744680851,0.061140348894654584
ETS,GJBC_LAW_BLOCK_3__A3_GIRLS,healthy,0.3408333333333333,0.18781083146534303,0.18388297872340426,-0.021360610803716762
ETS,G_BLOCK,healthy,1.0315248226950353,0.4108199488619947,0.5320390070921985,0.22783866711712264
ETS,I&H_BLOCK,degraded,0.314113475177305,0.5819254878634651,0.5689007092198581,-0.02289464300627797
ETS,INFORMATION_CENTRE,dead,0.01730496453900709,0.04106296474992321,0.03664893617021276,-0.1204408378788917
ETS,IT_BLOCK,degraded,0.09443262411347518,0.07863093311054815,0.09551418439716311,0.17676171757287606
ETS,ME_WORKSHOP_BLOCK,degraded,0.037429078014184394,0.03535144566436443,0.0376241134751773,0.06040455444384829
ETS,MM_BLOCK,healthy,1.1443617021276595,0.24708966297367413,0.32232269503546096,0.23340904385746064
ETS,MRD_BLOCK,healthy,1.388758865248227,0.8844351798133953,1.0859397163120568,0.18555775562108368
ETS,NBX,healthy,0.8031729055258466,0.43392689598935963,0.4968805704099822,0.12669779856491215
ETS,NEW_BLOCK,healthy,0.1748936170212766,0.04100698241552932,0.05079787234042553,0.19274212627020815
ETS,NEW_BLOCK_RO,dead,0.0003900709219858156,0.0012717762911773982,0.0006205673758865249,-1.0493766520687218
ETS,TECH_PARK,healthy,0.40037234042553194,0.281263555512186,0.3348581560283688,0.16005165038190783
