base,opponent,opponent_family,horizon,horizon_label,metric,n_origins,base_score,opponent_score,diff,improvement_pct,ci_lo_pct,ci_hi_pct,p_bootstrap,dm_stat,p_dm,significant_95,base_better,origins_won
Chronos2-ZS,Chronos2-COV-XL,foundation,168,7 d,MASE,24,0.6652976708299781,0.6628852888667536,0.002412381963224635,-0.36392148139970976,-0.7383944625096228,0.008913194735934443,0.0544,0.8207163834719854,0.4202332146401575,False,False,9
Chronos2-ZS,Chronos2-COV-XL,foundation,168,7 d,MAE,24,0.2197993179577634,0.2180278697413446,0.0017714482164187043,-0.812487054301932,-1.153000785188579,-0.443527699781312,0.0,1.9276792596297572,0.06633295283025653,True,False,3
Chronos2-ZS,Chronos2-COV,foundation,6,6 h,MASE,24,0.596173475223719,0.5963231558277006,-0.0001496806039816105,0.025100585566537797,-1.0682013897925215,1.0595819878482684,0.948,-0.04523662897946137,0.9643091695363937,False,False,14
Chronos2-ZS,Chronos2-COV,foundation,6,6 h,MAE,24,0.1958597924489299,0.1957342025790075,0.0001255898699224012,-0.06416347693332096,-1.6784618716926536,1.444905020189926,0.974,0.07846826886232715,0.9381342608882963,False,False,13
Chronos2-ZS,Chronos2-COV,foundation,12,12 h,MASE,24,0.627832870455817,0.627801941039423,3.092941639411262e-05,-0.004926620064745929,-1.2840714285364767,1.1266857553524254,0.975,0.007771328780930757,0.9938664533217536,False,False,16
Chronos2-ZS,Chronos2-COV,foundation,12,12 h,MAE,24,0.20245644476148775,0.20136702074342402,0.0010894240180637671,-0.5410141213996901,-2.382407997027912,1.1437651707564762,0.5548,0.594524004723875,0.557965414175208,False,False,14
Chronos2-ZS,Chronos2-COV,foundation,24,1 d,MASE,24,0.6563016477223401,0.6572048743660505,-0.0009032266437103675,0.13743456248428365,-0.8256598108735288,1.0188966149729135,0.745,-0.29328987720903105,0.7719306211437416,False,False,12
Chronos2-ZS,Chronos2-COV,foundation,24,1 d,MAE,24,0.21110794348326048,0.21018900155795148,0.0009189419253090135,-0.43719791164032473,-1.6904028064012009,0.6578870696295559,0.4712,0.7214592084902246,0.47789766167809233,False,False,13
Chronos2-ZS,Chronos2-COV,foundation,48,2 d,MASE,24,0.6668431302730689,0.6656937294084617,0.0011494008646069965,-0.17266211379643895,-0.8128639787465916,0.43015709472314384,0.6054,0.4044790264864959,0.6895973692044133,False,False,13
Chronos2-ZS,Chronos2-COV,foundation,48,2 d,MAE,24,0.21628921618847488,0.21531390118373192,0.0009753150047430032,-0.45297354206161833,-1.1773224667818367,0.23516528704708506,0.2052,0.887979967893353,0.38374394820704305,False,False,9
