model,hour,mae,bias,mean_actual
Chronos2-COV-XL,2,0.10353191742996892,0.03634879570958017,0.27875
Chronos2-COV-XL,3,0.09183073376196665,0.018811745192203185,0.2494270833333333
Chronos2-COV-XL,4,0.09482642392527245,0.021838431545034433,0.25277777777777777
Chronos2-COV-XL,5,0.11659691190450555,0.03573219469674061,0.28914930555555557
Chronos2-COV-XL,6,0.13794177717741857,0.03614414889869093,0.36744791666666665
Chronos2-COV-XL,7,0.2043707013667477,0.04693806296600895,0.5377951388888889
Chronos2-COV-XL,8,0.25189308373180713,0.030518311895907067,0.7403645833333333
Chronos2-COV-XL,9,0.3573209778494412,0.1107395237569694,0.7946527777777779
Chronos2-COV-XL,10,0.3656015351708265,0.08204960841795886,0.7628993055555555
Chronos2-COV-XL,11,0.35393823317302225,0.11356222039204214,0.7039930555555556
Chronos2-COV-XL,12,0.3159157052849231,0.06043407672942015,0.6284027777777778
Chronos2-COV-XL,13,0.3058772265807026,0.06256080140134475,0.6315970961887477
Chronos2-COV-XL,14,0.35161150689022586,0.14008651647748452,0.6815426497277677
Chronos2-COV-XL,15,0.3687396803423116,0.1605835739018023,0.6957894736842105
Chronos2-COV-XL,16,0.3084235906216381,0.14692231191818028,0.6878079710144928
Chronos2-COV-XL,17,0.2830471229835467,0.15425559761967936,0.6169927536231884
Chronos2-COV-XL,18,0.13498845276132604,0.0542677333358628,0.41581521739130434
Chronos2-COV-XL,19,0.16806167397414423,0.053411209838695996,0.38956521739130434
Chronos2-COV-XL,20,0.14314673934652034,0.04869285539851124,0.34607985480943737
Chronos2-COV-XL,21,0.11317380238994584,0.03448551785280276,0.3270235934664247
Chronos2-COV-XL,22,0.1439439126928169,0.051008249826382926,0.34407969639468694
Chronos2-COV-XL,23,0.12396455139291651,0.04781817994167795,0.3327355072463768
Chronos2-ZS,0,0.11267330261893019,0.042947347316187205,0.3108680555555556
Chronos2-ZS,1,0.1012647387528644,0.03301939915523083,0.28953125
Chronos2-ZS,2,0.10357577174674387,0.03312543669603554,0.27875
Chronos2-ZS,3,0.09404958233324578,0.017640716597096696,0.2494270833333333
Chronos2-ZS,4,0.09708775548136651,0.021040215506258796,0.25277777777777777
Chronos2-ZS,5,0.11930500593479437,0.03674567161106097,0.28914930555555557
Chronos2-ZS,6,0.13743147142193873,0.03389093036423421,0.36744791666666665
Chronos2-ZS,7,0.20323767693691883,0.04915208270183534,0.5377951388888889
Chronos2-ZS,8,0.2417310398173989,0.002481138506057806,0.7403645833333333
Chronos2-ZS,9,0.3592921115571233,0.09100178268226752,0.7946527777777779
Chronos2-ZS,10,0.36860655896832517,0.06428017447838809,0.7628993055555555
Chronos2-ZS,11,0.3579048668804211,0.09919336637307827,0.7039930555555556
Chronos2-ZS,12,0.32086640529520083,0.054569673877029136,0.6284027777777778
Chronos2-ZS,13,0.3064701629867067,0.049960774301700026,0.6315970961887477
Chronos2-ZS,14,0.35615046701304864,0.12429520255932078,0.6815426497277677
Chronos2-ZS,15,0.368203623399826,0.14342662118670885,0.6957894736842105
Chronos2-ZS,16,0.3112722487424069,0.12845636228411594,0.6878079710144928
Chronos2-ZS,17,0.28498593162019964,0.14469291429325348,0.6169927536231884
Chronos2-ZS,18,0.1341277721989225,0.047214762178372824,0.41581521739130434
Chronos2-ZS,19,0.16862945277387684,0.048064501331676224,0.38956521739130434
Chronos2-ZS,20,0.1460619923611807,0.04079617981138486,0.34607985480943737
Chronos2-ZS,21,0.11502938631449162,0.029911929350629446,0.3270235934664247
Chronos2-ZS,22,0.14541127495352352,0.046627072961104105,0.34407969639468694
Chronos2-ZS,23,0.12574464573742117,0.04442099417352702,0.3327355072463768
